NAME,country,aedes,non_aedes,total,landuse,aedes_mean,land_cov1_mean,land_cov2_mean,land_cov3_mean,tempmean_mean,tempvar_mean,pop_mean
VP23,PE,"0","19","19",agriculture,34.8416463952315,40.4933517857602,321.060396562543,52.235832548978,28.1717772567481,9.84444697697957,0.0139366706384213
VP24,PE,"0","59","59",agriculture,34.8449918332307,40.0580472033957,316.650327864937,50.855815389882,28.1782435043998,9.8604491358218,0.0134425596292089
VP16,PE,"0","5","5",agriculture,35.5572583717212,39.2950403313888,302.127812301903,31.7295351530376,28.1778296755071,10.4579310835454,0.0353803955863609
VP17,PE,"0","17","17",agriculture,35.2702015515031,42.5055310150673,387.776701039281,19.8121661482186,28.004850979509,10.3930327481237,0.0178326364304568
VP18,PE,"0","13","13",agriculture,33.34912467825,32.5972538816518,250.898132192677,34.91382654782,27.9899935886778,9.98498992262216,0.0244481212198081
IB01,PE,"2","70","72",forest,33.5471861466118,42.9564019908076,378.731929347826,68.0823960677437,27.709464496115,9.33749734629756,0.0328169088909584
IB02,PE,"0","38","38",forest,34.6131322485769,38.3651177495973,336.221533098791,61.4777923975235,27.8387748196594,9.59303963490022,0.0850055453677972
IB03,PE,"0","12","12",agriculture,34.5273798909681,32.4054098129272,217.260890566069,55.311956438525,27.8979732414772,9.86898735473896,0.453923425969801
IB04,PE,"0","118","118",agriculture,32.567707768802,36.7573677589153,262.22162036238,52.5587152941474,27.4594138737383,9.41980001844209,0.297516263954274
IB05,PE,"0","11","11",forest edge,29.2418271426497,46.7678269682259,421.062057495117,67.8630972566276,26.815256381857,8.84676587170568,0.0198493817545198
IB06,PE,"0","31","31",forest edge,28.2132984327233,46.5147801938264,412.715343442171,66.2150852700938,26.8861798162046,8.43607637156611,0.0435399292714216
IB07,PE,"0","21","21",forest,28.200270603443,46.510833082528,412.571044658792,66.4215756449206,26.8842563958004,8.42664936493183,0.0420796082270416
IB08,PE,"0","114","114",forest,27.3171313631851,46.7473591492239,429.576120832325,84.7438175572758,26.7091946390878,8.20847604971016,0.0224361311813647
IB09,PE,"0","130","130",forest edge,30.0449089050293,46.5919661148735,424.566654371179,54.9758269600246,27.044236390487,8.64702968597412,0.0259503563866019
IB10,PE,"0","133","133",forest edge,30.8046738808615,46.4630479979933,421.155388279965,55.3163394927979,27.0829990621199,8.58644658640811,0.02648777265779
IB11,PE,"1","59","60",forest edge,30.9392117952046,46.363215162043,419.740597373561,55.6748751924749,27.0818690082483,8.52379570509258,0.0255122222174127
IB12,PE,"1","91","92",forest edge,31.2460084246774,45.9227047129574,417.646878234342,59.6098772358691,27.0985108889066,8.39959412762243,0.024310678126173
IB13,PE,"0","44","44",forest edge,36.0537859818031,42.5588210533405,390.353941292598,67.9189598149267,27.7774335926977,9.00694945762897,0.0410255413142997
IB15,PE,"2","87","89",forest edge,35.4385180929433,37.4812948475713,302.104211293096,66.9834142933721,27.6963040559188,8.89615339196247,0.0548225085094439
IB16,PE,"0","35","35",forest,36.125361301588,46.9533500007961,401.384089196247,89.2435814235521,27.3613639002261,8.4919327362724,0.0311821894892664
IB17,PE,"0","105","105",forest,36.5482739231043,46.8573637175978,396.108023392527,87.9904706185324,27.414105248033,8.60770393672742,0.0293805151500485
IB18,PE,"0","15","15",forest,36.6548374110255,46.8490517386075,396.117524508772,87.8322696685791,27.433213513473,8.62418834916476,0.0296754686063842
IB19,PE,"0","18","18",forest,36.9493367355482,46.6281036106886,386.555696740615,86.5471926663829,27.4730385468069,8.75373771971306,0.0277509896716635
IB20,PE,"1","27","28",forest,37.0955390260931,46.531177520752,382.76409269634,86.0551666125917,27.4962435103299,8.80704551830626,0.0274492559072218
IB21,PE,"2","39","41",forest,37.1696441382693,46.2528344873796,372.512185615406,85.1179777446546,27.5172959043269,8.9123834308825,0.0264781834138138
IB22,PE,"0","32","32",forest,37.471817575652,45.8514358257425,359.236711173222,83.6042278552877,27.5766331574013,9.07189184221728,0.0255204430960734
IB23,PE,"0","29","29",forest,37.5922652534817,45.0895778490149,337.170072605299,81.1641669895338,27.6387675243875,9.30951195592466,0.0291460986911982
IB24,PE,"0","5","5",forest,37.6708933186327,44.5003474308894,322.326073018914,79.2073325132712,27.6876603477022,9.48063404539711,0.0356202212990158
IB25,PE,"0","259","259",agriculture,36.1843882922469,42.3674672225426,357.544671946558,72.0572113826357,27.6153923560833,8.57443320340124,0.0386908300090254
PM25,PE,"0","706","706",agriculture,46.182779640987,44.63115879585,387.886689547835,41.2056923570304,27.833135818613,13.0413051802537,0.186575762114742
